Graph Id,Source Function,Node Description,Cardinality,Node Id,Node BCI,head
50570,"example_ftest54",8|IntegerSwitch,3,8,6,B1,"[B2, B3, B5, B6][null]","[B7][null]","[B4, B5, B6][null]"
50570,"example_ftest54",7|If,2,7,2,B0,"[B12, B13, B14][null]","[B1, B2, B3, B5, B6, B7, B4, B8, B9, B10, B11][null]"
50575,"example_ftest53",8|IntegerSwitch,5,8,6,B1,"[B2, B3, B5, B6][B8, B9, B10, B11]","[B14, B15][B16]","[B12, B13][B16]","[B7][B8, B9, B10, B11]","[B4, B5, B6][B8, B9, B10, B11]"
50575,"example_ftest53",7|If,2,7,2,B0,"[B17, B18, B19][null]","[B1, B2, B3, B5, B6, B14, B15, B12, B13, B7, B4, B16, B8, B9, B10, B11][null]"
50581,"example_ftest52",8|IntegerSwitch,5,8,6,B1,"[B2, B3][B16, B17, B18]","[B11, B12][B16, B17, B18]","[B8, B9][B10]","[B6, B7][B10]","[B4, B5][B16, B17, B18]"
50581,"example_ftest52",7|If,2,7,2,B0,"[B13, B14, B15][null]","[B1, B2, B3, B11, B12, B8, B9, B6, B7, B4, B5, B10][null]"
50587,"example_ftest51",8|IntegerSwitch,3,8,6,B1,"[B2, B3][null]","[B6, B7][null]","[B4, B5][null]"
50587,"example_ftest51",7|If,2,7,2,B0,"[B8, B9, B10][null]","[B1, B2, B3, B6, B7, B4, B5][null]"
50593,"example_ftest50",8|IntegerSwitch,5,8,6,B1,"[B2, B3][B13, B14]","[B11, B12][B13, B14]","[B8, B9][B10]","[B6, B7][B10]","[B4, B5][B13, B14]"
50593,"example_ftest50",7|If,2,7,2,B0,"[B15, B16, B17][null]","[B1, B2, B3, B11, B12, B8, B9, B6, B7, B4, B5, B10, B13, B14][null]"
50601,"example_ftest49",8|IntegerSwitch,3,8,6,B1,"[B2, B3][null]","[B6, B7][null]","[B4, B5][null]"
50601,"example_ftest49",7|If,2,7,2,B0,"[B10, B11, B12][null]","[B1, B2, B3, B6, B7, B4, B5, B8, B9][null]"
50605,"example_ftest48b",19|IntegerSwitch,2,19,9,B2,"[B3, B4][null]","[B5, B6][null]"
50605,"example_ftest48b",75|If,2,75,66,B11,"[B12, B13][null]","[B14, B15][null]"
50610,"example_ftest48a",19|IntegerSwitch,2,19,9,B2,"[B3, B4][null]","[B5][null]"
50610,"example_ftest48a",67|If,2,67,55,B10,"[B11, B12][null]","[B13][null]"
50614,"example_ftest47",54|If,2,54,98,B5,"[B6, B7][null]","[B8, B9][null]"
50614,"example_ftest47",4|IntegerSwitch,4,4,1,B0,"[B1, B2][B4, B5, B6, B7, B8, B9, B10, B11]","[B14][B15, B16]","[B12, B13][B15, B16]","[B3][B4, B5, B6, B7, B8, B9, B10, B11]"
50616,"example_ftest46",64|If,2,64,76,B7,"[B8, B9][null]","[B10, B11][null]"
50616,"example_ftest46",4|IntegerSwitch,5,4,1,B0,"[B1, B2][B7, B8, B9, B10, B11, B12, B13]","[B16][B17, B18]","[B14, B15][B17, B18]","[B5, B6][B7, B8, B9, B10, B11, B12, B13]","[B3, B4][B7, B8, B9, B10, B11, B12, B13]"
50619,"example_ftest45",61|If,2,61,77,B7,"[B8, B9][null]","[B10, B11][null]"
50619,"example_ftest45",4|IntegerSwitch,5,4,1,B0,"[B1, B2][B7, B8, B9, B10, B11, B12, B13]","[B16, B17][null]","[B14, B15][null]","[B5, B6][B7, B8, B9, B10, B11, B12, B13]","[B3, B4][B7, B8, B9, B10, B11, B12, B13]"
50626,"example_ftest44",15|IntegerSwitch,5,15,11,B3,"[B4, B5][B7, B8]","[B14][B15, B16, B17, B18]","[B11, B12, B13][B15, B16, B17, B18]","[B9, B10, B12, B13][B15, B16, B17, B18]","[B6][B7, B8]"
50626,"example_ftest44",7|If,2,7,2,B0,"[B1, B2][null]","[B3, B4, B5, B14, B11, B12, B13, B9, B10, B6, B15, B16, B17, B18, B7, B8][null]"
50629,"example_ftest43",23|If,2,23,10,B2,"[B3, B4][null]","[B5][null]"
50629,"example_ftest43",84|If,2,84,60,B10,"[B11, B12][null]","[x(81|LoopExit)][null]"
50629,"example_ftest43",44|IntegerSwitch,4,44,28,B8,"[B20, B21, B22, B23][null]","[B17][B18, B19]","[B14, B15, B16][B18, B19]","[B9, B10, B11, B12, B13, B15, B16][B18, B19]"
50640,"example_ftest42",27|IntegerSwitch,5,27,17,B4,"[B5, B6][B18, B19, B20]","[B16, B17][B18, B19, B20]","[B12, B13, B14][B15]","[B9, B10, B11][B15]","[B7, B8][B18, B19, B20]"
50640,"example_ftest42",25|If,2,25,12,B2,"[B3][null]","[B4, B5, B6, B16, B17, B12, B13, B14, B9, B10, B11, B7, B8, B15, B18, B19, B20][null]"
50647,"example_ftest41",3|IntegerSwitch,3,3,1,B0,"[B1, B2][B4, B5]","[B6, B7][null]","[B3][B4, B5]"
50650,"example_ftest40",3|IntegerSwitch,3,3,1,B0,"[B1, B2][B4, B5]","[B6, B7][null]","[B3][B4, B5]"
50653,"example_ftest39",60|If,2,60,68,B13,"[B14, B15][null]","[B16, B17][null]"
50653,"example_ftest39",13|IntegerSwitch,4,13,12,B2,"[B3, B4, B6, B7, B9, B10][null]","[B11][null]","[B8, B9, B10][null]","[B5, B6, B7, B9, B10][null]"
50653,"example_ftest39",11|If,2,11,7,B0,"[B1][null]","[B2, B3, B4, B6, B7, B9, B10, B11, B8, B5, B12, B13, B14, B15, B16, B17][null]"
50666,"example_ftest38",3|IntegerSwitch,4,3,1,B0,"[B1, B2, B4, B5, B7, B8][null]","[B9][null]","[B6, B7, B8][null]","[B3, B4, B5, B7, B8][null]"
50814,"example_ftest36",11|If,2,11,6,B0,"[B1][null]","[B2, B3][null]"
50817,"example_ftest35",39|If,2,39,23,B4,"[B6, B7, B8][null]","[x(37|LoopExit)][null]"
51809,"example_ftest34",21|If,2,21,13,B2,"[B3][null]","[B4][null]"
51809,"example_ftest34",14|If,2,14,8,B1,"[B5][null]","[B2, B3, B4][null]"
51809,"example_ftest34",10|If,2,10,3,B0,"[B1, B5, B2, B3, B4, B6, B7][null]","[B8][null]"
51823,"example_ftest33",10|If,2,10,19,B4,"[B5][null]","[B6, B7, B8, B9, B10, B11, B12, B13, B14, B15, B16, B17, B18, B19, B20, B21, B22, B23, B24, B25, B26, B27, B28, B29, B30, B31, B32, B33, B34, B35, B36, B37, B38, B39, B40, B41, B42, B43, B44, B45, B46, B47, B48, B49, B50, B51, B52, B53, B54][null]"
51821,"example_ftest1",7|If,2,7,1,B0,"[B1, B2][null]","[B3, B4][null]"
51828,"example_ftest2",23|If,2,23,15,B2,"[B3, B4][null]","[B5][null]"
51828,"example_ftest2",16|If,2,16,10,B1,"[B6][null]","[B2, B3, B4, B5][null]"
51828,"example_ftest2",46|If,2,46,36,B8,"[B9, B10][null]","[B11][null]"
51828,"example_ftest2",39|If,2,39,31,B7,"[B12][null]","[B8, B9, B10, B11][null]"
51828,"example_ftest2",65|If,2,65,57,B14,"[B15, B16][null]","[B17][null]"
51828,"example_ftest2",59|If,2,59,52,B13,"[B18][null]","[B14, B15, B16, B17][null]"
51828,"example_ftest2",84|If,2,84,78,B20,"[B21, B22][null]","[B23][null]"
51828,"example_ftest2",77|If,2,77,73,B19,"[B24][null]","[B20, B21, B22, B23][null]"
51828,"example_ftest2",102|If,2,102,99,B26,"[B27, B28][null]","[B29][null]"
51828,"example_ftest2",96|If,2,96,94,B25,"[B30][null]","[B26, B27, B28, B29][null]"
51828,"example_ftest2",120|If,2,120,120,B32,"[B33, B34][null]","[B35][null]"
51828,"example_ftest2",114|If,2,114,115,B31,"[B36][null]","[B32, B33, B34, B35][null]"
51859,"example_ftest32",41|If,2,41,19,B6,"[B7][null]","[B8][null]"
51859,"example_ftest32",26|If,2,26,19,B4,"[B5][null]","[B6, B7, B8][null]"
51859,"example_ftest32",22|If,2,22,13,B3,"[x(18|LoopExit)][null]","[B4, B5, B6, B7, B8][null]"
51859,"example_ftest32",8|If,2,8,5,B0,"[B1][null]","[B2, B3, B9, B4, B5, B6, B7, B8][null]"
51871,"example_ftest31",56|If,2,56,42,B8,"[B12, B13][null]","[x(54|LoopExit)][null]"
51871,"example_ftest31",40|If,2,40,21,B4,"[x(38|LoopExit)][null]","[B7, B8, B12, B13, B9, B10][null]"
51871,"example_ftest31",22|If,2,22,12,B2,"[x(19|LoopExit)][null]","[B3, B4, B5, B6, B7, B8, B12, B13, B9, B10, B11][null]"
51879,"example_ftest30",39|If,2,39,21,B4,"[B7, B8][null]","[x(37|LoopExit)][null]"
51879,"example_ftest30",21|If,2,21,12,B2,"[x(18|LoopExit)][null]","[B3, B4, B7, B8, B5, B6][null]"
51887,"example_ftest29",54|If,2,54,33,B7,"[B8][null]","[B9, B10][null]"
51887,"example_ftest29",40|If,2,40,21,B4,"[x(38|LoopExit)][null]","[B6, B7, B8, B9, B10][null]"
51887,"example_ftest29",22|If,2,22,12,B2,"[x(19|LoopExit)][null]","[B3, B4, B5, B6, B7, B8, B9, B10][null]"
51894,"example_ftest28",55|If,2,55,33,B7,"[B10, B11][null]","[x(53|LoopExit)][null]"
51894,"example_ftest28",40|If,2,40,21,B4,"[x(38|LoopExit)][null]","[B6, B7, B10, B11, B8, B9][null]"
51894,"example_ftest28",22|If,2,22,12,B2,"[x(19|LoopExit)][null]","[B3, B4, B5, B6, B7, B10, B11, B8, B9][null]"
51913,"example_ftest3",7|If,2,7,5,B0,"[B1, B2][null]","[B3][null]"
51918,"example_ftest4",7|If,2,7,2,B0,"[B1, B2, B3, B4, B5][null]","[B6][null]"
51919,"example_ftest27",55|If,2,55,33,B7,"[B9, B10][null]","[x(53|LoopExit)][null]"
51919,"example_ftest27",40|If,2,40,21,B4,"[x(38|LoopExit)][null]","[B6, B7, B9, B10, B8][null]"
51919,"example_ftest27",22|If,2,22,12,B2,"[x(19|LoopExit)][null]","[B3, B4, B5, B6, B7, B9, B10, B8][null]"
51920,"example_ftest5",3|IntegerSwitch,3,3,1,B0,"[B1, B2][null]","[B5, B6][null]","[B3, B4][null]"
51922,"example_ftest6",3|IntegerSwitch,4,3,1,B0,"[B1, B2, B4, B5][B10, B11, B12]","[B8, B9][B10, B11, B12]","[B6, B7][null]","[B3, B4, B5][B10, B11, B12]"
51924,"example_ftest7",12|If,2,12,4,B1,"[B2, B3][null]","[x(9|LoopExit)][null]"
51925,"example_ftest26",38|If,2,38,21,B4,"[B5][null]","[B6, B7][null]"
51925,"example_ftest26",21|If,2,21,12,B2,"[x(18|LoopExit)][null]","[B3, B4, B5, B6, B7][null]"
51926,"example_ftest8",12|If,2,12,4,B1,"[B2, B3][null]","[x(9|LoopExit)][null]"
51928,"example_ftest25",39|If,2,39,21,B4,"[B6, B7][null]","[x(37|LoopExit)][null]"
51928,"example_ftest25",21|If,2,21,12,B2,"[x(18|LoopExit)][null]","[B3, B4, B6, B7, B5][null]"
51930,"example_ftest9",25|If,2,25,14,B2,"[B5][null]","[x(22|LoopExit)][null]"
51933,"example_ftest24",42|If,2,42,28,B5,"[B6][null]","[x(38|LoopExit)][null]"
51935,"example_ftest10",7|If,2,7,3,B0,"[B1, B2, B3][null]","[B4, B5][null]"
51933,"example_ftest24",7|If,2,7,2,B0,"[B1][null]","[B2, B3, B4, B5, B6, B7, B8][null]"
51945,"example_ftest23",26|If,2,26,18,B4,"[B5, B6][null]","[x(23|LoopExit)][null]"
51945,"example_ftest23",7|If,2,7,2,B0,"[B1][null]","[B2, B3, B4, B5, B6, B7, B8][null]"
51950,"example_ftest22",53|If,2,53,37,B8,"[B12, B13][null]","[x(51|LoopExit)][null]"
51950,"example_ftest22",23|If,2,23,13,B3,"[B4, B5][null]","[x(20|LoopExit)][null]"
51950,"example_ftest22",13|If,2,13,6,B1,"[B7, B8, B12, B13, B9][null]","[B2, B3, B4, B5, B6][null]"
51954,"example_ftest21",38|If,2,38,26,B6,"[B7, B8, B9, B10][null]","[x(35|LoopExit)][null]"
51954,"example_ftest21",29|If,2,29,17,B4,"[x(26|LoopExit)][null]","[B5, B6, B7, B8, B9, B10, B11][null]"
51954,"example_ftest21",20|If,2,20,8,B2,"[x(17|LoopExit)][null]","[B3, B4, B12, B5, B6, B7, B8, B9, B10, B11][null]"
51956,"example_ftest20",42|If,2,42,22,B5,"[B6, B7][null]","[x(39|LoopExit)][null]"
51956,"example_ftest20",19|If,2,19,8,B2,"[x(16|LoopExit)][null]","[B3, B4, B5, B6, B7, B8, B9][null]"
51953,"example_ftest11",13|If,2,13,-4,B3,"[B4][null]","[B8][null]"
51953,"example_ftest11",60|Invoke#Throwable.fillInStackTrace,2,60,24,B1,"[B2][null]","[B3, B4, B8][null]"
51953,"example_ftest11",7|If,2,7,4,B0,"[B9][null]","[B1, B2, B3, B4, B8, B5, B6, B7][null]"
51958,"example_ftest19",45|If,2,45,25,B5,"[B6, B7][null]","[B8, B9][null]"
51958,"example_ftest19",31|If,2,31,16,B3,"[B4, B5, B6, B7, B8, B9, B10, B11][null]","[x(28|LoopExit)][null]"
51961,"example_ftest12",3|IntegerSwitch,5,3,1,B0,"[B1, B2, B4, B5][null]","[B11, B12][null]","[B8, B9, B10][null]","[B6, B7, B9, B10][null]","[B3, B4, B5][null]"
51970,"example_ftest18",60|If,2,60,66,B10,"[B11, B12][null]","[B13, B14][null]"
51971,"example_ftest13",25|IntegerSwitch,4,25,16,B3,"[B4, B5, B7, B8][B13, B14, B15]","[B11, B12][B13, B14, B15]","[B9, B10][null]","[B6, B7, B8][B13, B14, B15]"
51971,"example_ftest13",7|If,2,7,3,B0,"[B16][null]","[B1, B2, B3, B4, B5, B7, B8, B11, B12, B9, B10, B6, B13, B14, B15][null]"
51973,"example_ftest14",12|If,2,12,7,B1,"[B2, B3][null]","[B4, B5][null]"
51973,"example_ftest14",45|If,2,45,36,B9,"[B10, B11][null]","[B12, B13][null]"
51973,"example_ftest14",8|If,2,8,2,B0,"[B1, B2, B3, B4, B5, B6, B7][null]","[B8, B9, B10, B11, B12, B13][null]"
51976,"example_ftest15",12|If,2,12,7,B1,"[B2, B3][null]","[B4, B5][null]"
51976,"example_ftest15",43|If,2,43,30,B8,"[B9][null]","[B10, B11][null]"
51976,"example_ftest15",8|If,2,8,2,B0,"[B1, B2, B3, B4, B5, B6, B7][null]","[B8, B9, B10, B11][null]"
51970,"example_ftest18",25|IntegerSwitch,3,25,14,B3,"[B4, B5][B9, B10, B11, B12, B13, B14, B15, B16]","[B7, B8][B9, B10, B11, B12, B13, B14, B15, B16]","[B6][null]"
51970,"example_ftest18",24|If,2,24,10,B2,"[B17, B18][null]","[B3, B4, B5, B7, B8, B6, B9, B10, B11, B12, B13, B14, B15, B16][null]"
51977,"example_ftest16",8|If,2,8,2,B0,"[B1, B2][null]","[B3][null]"
51977,"example_ftest16",90|If,2,90,79,B15,"[B16, B17][null]","[B18, B19][null]"
51977,"example_ftest16",123|If,2,123,113,B21,"[B22, B23][null]","[B24, B25][null]"
51977,"example_ftest16",59|If,2,59,44,B9,"[B10, B11][null]","[B12, B13][null]"
51977,"example_ftest16",40|If,2,40,27,B6,"[B14, B15, B16, B17, B18, B19, B20, B21, B22, B23, B24, B25][null]","[B7, B8, B9, B10, B11, B12, B13][null]"
51980,"example_ftest17",52|If,2,52,39,B4,"[B5, B6][null]","[B7, B8][null]"
51980,"example_ftest17",28|If,2,28,74,B11,"[B12, B13][null]","[B14, B15][null]"
51980,"example_ftest17",21|IntegerSwitch,3,21,9,B2,"[B3][null]","[B4, B5, B6, B7, B8, B9, B10][B16, B17, B18]","[B11, B12, B13, B14, B15][B16, B17, B18]"
