Graph Id,Source Function,Node Description,Cardinality,Node Id,Node BCI,head
438,"equals",7|If,2,7,-9999,B0,"[B1][null]","[B2, B10, B3, B9, B4, B5, B6, B7, B8][null]"
449,"addLast",22|If,2,22,-9999,B0,"[B1][null]","[B2][null]"
491,"getValue",10|If,2,10,-9999,B0,"[B1][null]","[B2][null]"
525,"startsWith",64|If,2,64,-9999,B7,"[B8][null]","[x(60|LoopExit)][null]"
525,"startsWith",52|If,2,52,-9999,B6,"[x(49|LoopExit)][null]","[B7, B8, B9][null]"
525,"startsWith",23|If,2,23,-9999,B2,"[B3][null]","[B5, B6, B10, B7, B8, B9][null]"
525,"startsWith",9|If,2,9,-9999,B0,"[B1][null]","[B2, B3, B5, B6, B10, B7, B8, B9][null]"
541,"valueOf",16|If,2,16,-9999,B2,"[B3][null]","[B4][null]"
541,"valueOf",7|If,2,7,-9999,B0,"[B1][null]","[B2, B3, B4][null]"
549,"get",60|If,2,60,-9999,B7,"[B8][null]","[B9][null]"
549,"get",48|If,2,48,-9999,B5,"[B6][null]","[B7, B8, B9][null]"
549,"get",43|If,2,43,-9999,B4,"[B5, B6, B7, B8, B9, B10][null]","[B11][null]"
549,"get",98|If,2,98,-9999,B17,"[B19, B20][null]","[x(95|LoopExit)][null]"
549,"get",90|If,2,90,-9999,B16,"[B22][null]","[B17, B19, B20, B18, B21][null]"
549,"get",84|If,2,84,-9999,B13,"[x(82|LoopExit)][null]","[B16, B22, B17, B19, B20, B18, B21][null]"
549,"get",38|If,2,38,-9999,B2,"[B3][null]","[B4, B5, B6, B7, B8, B9, B10, B11, B12, B13, B14, B16, B22, B17, B19, B20, B18, B21][null]"
549,"get",20|If,2,20,-9999,B0,"[B1][null]","[B2, B3, B4, B5, B6, B7, B8, B9, B10, B11, B12, B13, B14, B16, B22, B17, B19, B20, B18, B21][null]"
553,"add",14|If,2,14,-9999,B0,"[B1][null]","[B2][null]"
563,"equals",12|If,2,12,-9999,B2,"[B3][null]","[B4][null]"
563,"equals",7|If,2,7,-9999,B0,"[B1][null]","[B2, B3, B4][null]"
570,"match",22|If,2,22,-9999,B1,"[B2][null]","[B3][null]"
570,"match",10|If,2,10,-9999,B0,"[B1, B2, B3, B4][null]","[B5][null]"
613,"substring",23|If,2,23,-9999,B1,"[B2][null]","[B3][null]"
613,"substring",16|If,2,16,-9999,B0,"[B4][null]","[B1, B2, B3][null]"
649,"lastIndexOf",33|If,2,33,-9999,B2,"[B3][null]","[B4, B5][null]"
649,"lastIndexOf",27|If,2,27,-9999,B1,"[B6][null]","[B2, B3, B4, B5][null]"
656,"<init>",9|If,2,9,-9999,B0,"[B1][null]","[B2][null]"
691,"setValue",11|If,2,11,-9999,B0,"[B1][null]","[B2][null]"
698,"get",17|If,2,17,-9999,B0,"[B1][null]","[B2][null]"
700,"match",46|If,2,46,-9999,B5,"[B6][null]","[x(43|LoopExit)][null]"
700,"match",25|If,2,25,-9999,B2,"[B3, B4][null]","[B5, B6, B7][null]"
700,"match",18|If,2,18,-9999,B1,"[x(15|LoopExit)][null]","[B2, B3, B4, B5, B6, B7][null]"
731,"ensureCapacityInternal",14|If,2,14,-9999,B0,"[B1][null]","[B2][null]"
735,"search",18|If,2,18,-9999,B0,"[B1][null]","[B2][null]"
735,"search",71|If,2,71,-9999,B6,"[B7][null]","[B8][null]"
735,"search",40|If,2,40,-9999,B4,"[B5][null]","[x(37|LoopExit)][null]"
747,"getNode",51|If,2,51,-9999,B7,"[B8][null]","[B9][null]"
747,"getNode",36|If,2,36,-9999,B5,"[B6][null]","[B7, B8, B9][null]"
747,"getNode",31|If,2,31,-9999,B4,"[B5, B6, B7, B8, B9, B10][null]","[B11][null]"
747,"getNode",114|If,2,114,-9999,B25,"[B28][null]","[x(111|LoopExit)][null]"
747,"getNode",105|If,2,105,-9999,B20,"[B21][null]","[x(97|LoopExit)][null]"
747,"getNode",88|If,2,88,-9999,B18,"[x(85|LoopExit)][null]","[B20, B21, B22][null]"
747,"getNode",80|If,2,80,-9999,B17,"[B24][null]","[B18, B19, B20, B21, B22, B23][null]"
747,"getNode",64|If,2,64,-9999,B14,"[B15][null]","[B16, B17, B24, B18, B19, B20, B21, B22, B23, B25, B28, B26][null]"
747,"getNode",60|If,2,60,-9999,B12,"[B13][null]","[B14, B15, B16, B17, B24, B18, B19, B20, B21, B22, B23, B25, B28, B26][null]"
747,"getNode",26|If,2,26,-9999,B2,"[B3][null]","[B4, B5, B6, B7, B8, B9, B10, B11, B12, B13, B14, B15, B16, B17, B24, B18, B19, B20, B21, B22, B23, B25, B28, B26][null]"
747,"getNode",10|If,2,10,-9999,B0,"[B1][null]","[B2, B3, B4, B5, B6, B7, B8, B9, B10, B11, B12, B13, B14, B15, B16, B17, B24, B18, B19, B20, B21, B22, B23, B25, B28, B26][null]"
764,"createHash",37|If,2,37,-9999,B2,"[B3][null]","[B4][null]"
764,"createHash",69|If,2,69,-9999,B7,"[B8][null]","[B9][null]"
764,"createHash",60|If,2,60,-9999,B6,"[B7, B8, B9, B10][null]","[x(57|LoopExit)][null]"
764,"createHash",21|If,2,21,-9999,B1,"[B12][null]","[x(18|LoopExit)][null]"
769,"grow",10|If,2,10,-9999,B0,"[B1][null]","[B2][null]"
769,"grow",79|If,2,79,-9999,B4,"[B5][null]","[x(76|LoopExit)][null]"
780,"next",29|If,2,29,-9999,B1,"[B2][null]","[x(25|LoopExit)][null]"
791,"<init>",54|If,2,54,-9999,B6,"[B7][null]","[x(50|LoopExit)][null]"
791,"<init>",40|If,2,40,-9999,B5,"[B10][null]","[B6, B7, B8][null]"
791,"<init>",30|If,2,30,-9999,B2,"[B3][null]","[B4, B5, B10, B6, B7, B8][null]"
791,"<init>",21|If,2,21,-9999,B0,"[B1][null]","[B2, B3, B4, B5, B10, B6, B7, B8][null]"
792,"resize",8|If,2,8,-9999,B0,"[B1][null]","[B2][null]"
792,"resize",33|If,2,33,-9999,B7,"[B8][null]","[B9][null]"
792,"resize",42|If,2,42,-9999,B4,"[B5][null]","[B6][null]"
792,"resize",21|If,2,21,-9999,B3,"[B7, B8, B9][null]","[B4, B5, B6][null]"
792,"resize",51|If,2,51,-9999,B10,"[B11][null]","[B12][null]"
792,"resize",140|If,2,140,-9999,B25,"[B26][null]","[B27][null]"
792,"resize",153|If,2,153,-9999,B29,"[B30][null]","[B31][null]"
792,"resize",136|If,2,136,-9999,B24,"[B25, B26, B27, B28][null]","[B29, B30, B31, B32][null]"
792,"resize",184|If,2,184,-9999,B34,"[B35][null]","[B36][null]"
792,"resize",197|If,2,197,-9999,B37,"[B38][null]","[B39][null]"
792,"resize",180|If,2,180,-9999,B33,"[B41][null]","[x(173|LoopExit)][null]"
792,"resize",113|If,2,113,-9999,B21,"[B22][null]","[B23, B24, B25, B26, B27, B28, B29, B30, B31, B32, B33, B41, B34, B35, B36, B37, B38, B39][null]"
792,"resize",100|If,2,100,-9999,B19,"[B20][null]","[B21, B22, B23, B24, B25, B26, B27, B28, B29, B30, B31, B32, B33, B41, B34, B35, B36, B37, B38, B39][null]"
792,"resize",93|If,2,93,-9999,B17,"[B18][null]","[B19, B20, B21, B22, B23, B24, B25, B26, B27, B28, B29, B30, B31, B32, B33, B41, B34, B35, B36, B37, B38, B39][null]"
792,"resize",88|If,2,88,-9999,B16,"[B17, B18, B19, B20, B21, B22, B23, B24, B25, B26, B27, B28, B29, B30, B31, B32, B33, B41, B34, B35, B36, B37, B38, B39, B40][null]","[x(85|LoopExit)][null]"
792,"resize",75|If,2,75,-9999,B13,"[B14][null]","[B15, B16, B17, B18, B19, B20, B21, B22, B23, B24, B25, B26, B27, B28, B29, B30, B31, B32, B33, B41, B34, B35, B36, B37, B38, B39, B40, B42][null]"
801,"inflate",37|If,2,37,-9999,B8,"[B9][null]","[B11][null]"
801,"inflate",30|If,2,30,-9999,B6,"[B7][null]","[B8, B9, B11][null]"
801,"inflate",25|If,2,25,-9999,B4,"[B5][null]","[B6, B7, B8, B9, B11][null]"
801,"inflate",18|If,2,18,-9999,B2,"[B3][null]","[B4, B5, B6, B7, B8, B9, B11][null]"
801,"inflate",11|If,2,11,-9999,B0,"[B1][null]","[B2, B3, B4, B5, B6, B7, B8, B9, B11][null]"
807,"lambda$union$2",12|If,2,12,-9999,B0,"[B1][null]","[B2][null]"
890,"dec",10|If,2,10,-9999,B0,"[B1][null]","[B2][null]"
896,"or",16|If,2,16,-9999,B0,"[B1][null]","[B2][null]"
896,"or",54|If,2,54,-9999,B6,"[B7][null]","[B8][null]"
896,"or",39|If,2,39,-9999,B4,"[B5][null]","[x(36|LoopExit)][null]"
905,"nextSetBit",49|If,2,49,-9999,B3,"[B5][null]","[x(47|LoopExit)][null]"
905,"nextSetBit",40|If,2,40,-9999,B2,"[x(35|LoopExit)][null]","[B3, B5, B4][null]"
